userid,rating,rating_number,category,address,city
Gingerbread Man,4.0,604,Restaurant,"5 S Court House Ave, Carlisle, PA, Carlisle, PA",Carlisle
Walnut Bottom Diner,4.3,2700,Diner,"936 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA",Carlisle
Grazery,4.8,233,Mediterranean,"156 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Pizza Boli's,3.5,52,Pizza,"328 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Issei Noodle,4.6,792,Asian,"54 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Hamilton Restaurant,4.7,1400,Restaurant,"55 W High St, Carlisle, PA, Carlisle, PA",Carlisle
One13 Social,4.8,114,Restaurant,"113 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Trindle Inn,4.3,115,Grill,"1941 W Trindle Rd, Carlisle, PA, Carlisle, PA",Carlisle
Wendy's,3.9,1100,Fast Food,"331 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Taco Bell,3.6,1000,Fast Food,"401 E High St, Carlisle, PA, Carlisle, PA",Carlisle
1794 The Whiskey Rebellion,4.4,616,American,"10 S Hanover St · In Comfort Suites Downtown Carlisle, Carlisle, PA, Carlisle, PA",Carlisle
Café Bruges,4.6,848,Restaurant,"16 N Pitt St, Carlisle, PA, Carlisle, PA",Carlisle
Tawan Thai Restaurant,4.5,57,Thai,"141 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Taqueria Laurita,4.1,346,Mexican,"150 W High St, Carlisle, PA, Carlisle, PA",Carlisle
MISENO'S RISTRO PUB,4.6,142,Pub,"598 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Fay's Country Kitchen,4.5,784,American,"203 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Kimberly's Cafe & Creamery,4.5,208,Breakfast,"530 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Yak N Yeti II,4.7,255,Asian,"49 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Miseno II Pizzeria & Italian,4.6,833,Italian,"598 W High St, Carlisle, PA, Carlisle, PA",Carlisle
John's Hideaway Restaurant,4.5,253,Restaurant,"302 N College St, Carlisle, PA, Carlisle, PA",Carlisle
B&L Caribbean Restaurant,4.9,124,Restaurant,"10 W Pomfret St, Carlisle, PA, Carlisle, PA",Carlisle
North Hanover Grille,4.5,694,Grill,"37 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Sage Cafe,4.8,71,Restaurant,"22 W Pomfret St, Carlisle, PA, Carlisle, PA",Carlisle
The Vegetable Hunter - Carlisle - Vegan Cafe & Boutique Brewery,4.5,116,Vegan,"46 W High St, Carlisle, PA, Carlisle, PA",Carlisle
West End Cafe,4.5,261,Bar,"1590 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
Carlisle Diner,4.3,1300,Diner,"800 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Redd's Smokehouse BBQ,4.7,721,Barbecue,"109 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Mount Fuji,4.5,385,Asian,"149 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Vinny Restaurant Pizza & Subs,4.6,350,Pizza,"330 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
George's Subs & Pizza,4.4,445,Pizza,"121 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Domino's Pizza,3.5,302,Pizza Delivery,"200 S Spring Garden St Ste 4 · In Castles Commons, Carlisle, PA, Carlisle, PA",Carlisle
The Pizza Grille - Carlisle,4.4,565,Pizza,"1007 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
Hook & Flask Still Works,4.6,158,Restaurant,"137 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Playa Bowls,4.4,125,Health Food,"32 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Chen's,4.4,655,Chinese,"310 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Market Cross Pub,4.5,567,Brewpub,"113 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Cracker Barrel Old Country Store,4.2,2200,American,"3 E Garland Dr, Carlisle, PA, Carlisle, PA",Carlisle
China Palace Restaurant,4.1,227,Chinese,"259 Penrose Pl, Carlisle, PA, Carlisle, PA",Carlisle
Momma Spriggs Restaurant,4.6,1400,Restaurant,"Momma Spriggs, 160 York Rd, Carlisle, PA, Carlisle, PA",Carlisle
Aya Japanese Steakhouse,4.2,453,Japanese,"235 S Spring Garden St · In Carlisle Marketplace, Carlisle, PA, Carlisle, PA",Carlisle
King Tut 1 LLC,4.6,75,Egyptian,"120 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Rustic Tavern,4.5,1200,Steak,"823 Newville Rd, Carlisle, PA, Carlisle, PA",Carlisle
Seve-N-Dots,4.7,538,Pizza,"40 E Louther St, Carlisle, PA, Carlisle, PA",Carlisle
Passage to India,4.0,1000,Indian,"26 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
El Rodeo,3.9,584,Mexican,"398 E High St, Carlisle, PA, Carlisle, PA",Carlisle
Applebee's Grill + Bar,3.9,1300,Restaurant,"260 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Grandma Stamm’s,4.5,138,Chicken,"44 E High St, Carlisle, PA, Carlisle, PA",Carlisle
Chick-fil-A,4.6,1800,Fast Food,"2 Noble Blvd, Carlisle, PA, Carlisle, PA",Carlisle
Chili's Grill & Bar,4.1,1100,Tex Mex,"2 Houser Ln, Carlisle, PA, Carlisle, PA",Carlisle
Carlisle Super Buffet Restaurant,4.1,776,Buffet,"40 Noble Blvd # 60 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Al's Pizza & Subs Carlisle,4.4,184,Pizza,"40 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Miseno Pizza and Ristorante,4.1,181,Pizza,"1225 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
Five Guys,4.3,513,Fast Food,"10 Noble Blvd Suite 1, Carlisle, PA, Carlisle, PA",Carlisle
The Sunrise Cafe' Sandwich Shop,4.7,137,Sandwich,"231 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Molly Pitcher Brewing Company Taproom on High,4.5,532,Brewpub,"139 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Fairgrounds Diner,4.2,749,Restaurant,"1111 Carlisle Springs Rd, Carlisle, PA, Carlisle, PA",Carlisle
Hoss's Steak & Sea House,4.1,1300,Steak,"909 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA",Carlisle
Speezy's Breakfast Spot,5.0,2,Restaurant,"330 E Louther St, Carlisle, PA, Carlisle, PA",Carlisle
Sunnyside Family Restaurant's,4.0,220,American,"850 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Alfredo Pizza & Ristorante,4.5,179,Pizza,"950 Walnut Bottom Rd · In Stonehedge Square, Carlisle, PA, Carlisle, PA",Carlisle
Great Wall Chinese Restaurant,3.9,199,Chinese,"1225 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
1757 Bar & Grille,4.5,24,Restaurant,"920 Jim Thorpe Rd · In Carlisle Barracks Golf Course, Carlisle, PA, Carlisle, PA",Carlisle
Official BBQ LLC,4.9,39,Restaurant,"848 N Hanover St Suite D, Carlisle, PA, Carlisle, PA",Carlisle
Pizza-Wings & More,4.3,50,Pizza,"328 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Pretzel Spot Cafe,3.8,45,Soul,"66 W Louther St, Carlisle, PA, Carlisle, PA",Carlisle
Taipei Chinese Kitchen (Giant),3.9,24,Chinese,"255S S Spring Garden St · In Carlisle Marketplace, Carlisle, PA, Carlisle, PA",Carlisle
Brad's Pizza,4.6,495,Pizza,"1548 Spring Rd, Carlisle, PA, Carlisle, PA",Carlisle
Arby's,4.3,702,Fast Food,"930 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA",Carlisle
Red Robin Gourmet Burgers and Brews,4.2,1100,Restaurant,"236 Westminster Dr · In Carlisle Crossing, Carlisle, PA, Carlisle, PA",Carlisle
K’afe,5.0,10,Cafe,"90 S College St · In Dickinson College, Carlisle, PA, Carlisle, PA",Carlisle
Little Caesars Pizza,3.9,410,Pizza,"650 E High St · In The Point at Carlisle Plaza, Carlisle, PA, Carlisle, PA",Carlisle
Helena's Chocolate Café and Crêperie,4.5,416,Coffee shop,"36 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Chipotle Mexican Grill,3.5,465,Mexican,"40 Noble Blvd #32, Carlisle, PA, Carlisle, PA",Carlisle
Panera Bread,4.0,505,Cafe,"40 Noble Blvd · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Papa Johns Pizza,3.9,251,Pizza,"500 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Marcello's Ristorante & Pizza,4.5,902,Pizza,"900 Cavalry Rd, Carlisle, PA, Carlisle, PA",Carlisle
It's Just Wings,2.6,20,Chicken Wings,"2 Houser Ln · In Chili's Grill & Bar, Carlisle, PA, Carlisle, PA",Carlisle
Desperate Times Brewery,4.5,262,Brewery,"1201 Carlisle Springs Rd, Carlisle, PA, Carlisle, PA",Carlisle
Waffle House,4.0,1200,Breakfast,"1249 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Burger King,3.2,491,Restaurant,"950 E High St, Carlisle, PA, Carlisle, PA",Carlisle
Asian Cafe,4.1,251,Asian,"214 Westminster Dr #C · In Carlisle Crossing, Carlisle, PA, Carlisle, PA",Carlisle
Pizza Hut,3.6,471,Pizza Delivery,"819 E High St, Carlisle, PA, Carlisle, PA",Carlisle
McDonald's,3.3,1300,Fast Food,"608 E High St, Carlisle, PA, Carlisle, PA",Carlisle
McDonald's,3.5,1500,Fast Food,"905 Walnut Bottom Rd, Carlisle, PA, Carlisle, PA",Carlisle
Great Wall (900 Cavalry Rd),4.1,141,Chinese,"900 Cavalry Rd # 4, Carlisle, PA, Carlisle, PA",Carlisle
Mays Family Restaurant,4.7,143,Family-friendly,"1900 Spring Rd, Carlisle, PA, Carlisle, PA",Carlisle
Spoons Cafe,4.5,152,American,"Army Heritage Education Museum |, 950 Soldiers Dr · In the U.S. Army Heritage and Education Center, Carlisle, PA, Carlisle, PA",Carlisle
Subway,3.9,111,Sandwich,"40 Noble Blvd Suite 110 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Firehouse Subs Carlisle Commons,3.9,315,Sandwich,"10 Noble Blvd #5 · In Walmart Supercenter, Carlisle, PA, Carlisle, PA",Carlisle
Denim Coffee,4.7,306,Coffee shop,"1 S Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Burger King,3.5,604,Restaurant,"370 Allen Rd, Carlisle, PA, Carlisle, PA",Carlisle
Napoli Pizza,4.5,539,Pizza,"1075 Harrisburg Pike #111, Carlisle, PA, Carlisle, PA",Carlisle
Grand Illusion Hard Cider,4.7,498,Cider bar,"26 W High St, Carlisle, PA, Carlisle, PA",Carlisle
Wendy's,3.8,1000,Fast Food,"1165 Harrisburg Pike · In Love's Travel Stop, Carlisle, PA, Carlisle, PA",Carlisle
Hardee's,4.1,871,Fast Food,"1804 W Trindle Rd, Carlisle, PA, Carlisle, PA",Carlisle
Denny's,3.8,1800,Diner,"1501 Harrisburg Pike · In Flying J Travel Center, Carlisle, PA, Carlisle, PA",Carlisle
Fiddler's Bar and Grill,4.2,547,Grill,"1 Mayapple Dr, Carlisle, PA, Carlisle, PA",Carlisle
China one,3.9,106,Chinese,"1075 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Subway,4.1,146,Sandwich,"1909 Ritner Hwy #3, Carlisle, PA, Carlisle, PA",Carlisle
Happy Chen,3.8,137,Asian,"1161 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Subway,4.1,163,Sandwich,"299 A Westminster Dr Suite 27, Bldg #1 · In Carlisle Crossing, Carlisle, PA, Carlisle, PA",Carlisle
Middlesex Diner,4.4,3000,Diner,"1803 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Hickory Ridge Restaurant-Creamery-Country Store-Catering,4.5,944,American,"1400 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
The Carriage House Tavern,3.9,50,Pub,"1582 Mt, Holly Pike, Carlisle, PA, Carlisle, PA",Carlisle
Levine Enterprises Inc,2.3,3,Corporate office,"121 S Pitt St, Carlisle, PA, Carlisle, PA",Carlisle
Dunkin',3.5,558,Coffee shop,"402 E High St, Carlisle, PA, Carlisle, PA",Carlisle
Sheetz,3.4,107,Restaurant,"1900 Ritner Hwy, Carlisle, PA, Carlisle, PA",Carlisle
McDonald's,3.2,1200,Fast Food,"1176 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Cafe Cumberland,5.0,2,American,"950 Soldiers Dr, Carlisle, PA, Carlisle, PA",Carlisle
Freeman's BBQ,4.5,166,Barbecue,"1446 Holly Pike #1436, Carlisle, PA, Carlisle, PA",Carlisle
Dunkin',3.9,76,Coffee shop,"370 Allen Rd, Carlisle, PA, Carlisle, PA",Carlisle
Sheetz,3.4,73,Restaurant,"1098 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Subway,4.0,49,Sandwich,"Carlisle Barracks, PA, Carlisle, PA, Carlisle, PA",Carlisle
Taco Bell,3.8,828,Fast Food,"Mechanicsburg, PA · In Silver Spring Commons, Carlisle, PA, Carlisle, PA",Carlisle
PB's Kitchen with Southern Smoke,4.4,148,Restaurant,"1251 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Back Porch Brewing inc,5.0,10,Brewery,"133 N Hanover St, Carlisle, PA, Carlisle, PA",Carlisle
Subway,3.9,42,Sandwich,"1075 Harrisburg Pike Space 110, Carlisle, PA, Carlisle, PA",Carlisle
Dunkin',3.3,361,Coffee shop,"1651 Harrisburg Pike, Carlisle, PA, Carlisle, PA",Carlisle
Eleven,4.6,1300,American,1150 Smallman St,Pittsburgh
The Capital Grille,4.6,1400,Fine Dining,301 Fifth Ave · In Piatt Place Downtown,Pittsburgh
The Melting Pot,4.5,1700,Fondue,242 W Station Square Dr · In Station Square,Pittsburgh
täkō,4.5,1400,Tacos,214 6th St,Pittsburgh
Proper Brick Oven & Tap Room,4.6,1700,Restaurant,139 7th St,Pittsburgh
The Eagle,4.6,552,Chicken,737 Penn Ave Space 2,Pittsburgh
Kaya,4.5,1500,Caribbean,2000 Smallman St,Pittsburgh
Eddie V's Prime Seafood,4.7,1500,Seafood,501 Grant St #100 · In Union Trust Building,Pittsburgh
Fogo de Chão Brazilian Steakhouse,4.6,2900,Brazilian,525 Smithfield St,Pittsburgh
Après-Ski at Butcher and the Rye,4.6,1200,New American,212 6th St,Pittsburgh
Arepittas,4.8,501,Restaurant,412-428 Cherry Way,Pittsburgh
Tessaro's American Bar & Hardwood Grill,4.5,1400,Grill,4601 Liberty Ave,Pittsburgh
Pamela's Diner,4.6,2300,Brunch,60 21st St,Pittsburgh
The Commoner,4.4,1600,Gastropub,"620 William Penn Pl · In the Hotel Monaco Pittsburgh, a Kimpton Hotel",Pittsburgh
Casbah,4.5,1100,Mediterranean,229 S Highland Ave,Pittsburgh
Gaucho Parrilla Argentina,4.6,3500,South American,146 6th St,Pittsburgh
Huszar,4.6,477,Hungarian,627 E North Ave #4844,Pittsburgh
Siempre Algo,4.7,209,American,414 E Ohio St,Pittsburgh
Burgatory,4.5,3400,Hamburger,342 N Shore Dr,Pittsburgh
Carmi Soul Food Restaurant,4.2,1500,Soul,1825 E Carson St,Pittsburgh
fl.2 Modern American,4.3,387,Restaurant,510 Market St floor 2 · In Three Pnc Plaza,Pittsburgh
Morcilla,4.7,755,Spanish,3519 Butler St,Pittsburgh
Bakersfield,4.5,1600,Tacos,940 Penn Ave,Pittsburgh
Pizzaiolo Primo,4.3,703,Italian,8 Market Square,Pittsburgh
Sienna Mercato,4.4,2700,Italian,942 Penn Ave,Pittsburgh
The Porch at Schenley,4.2,1300,American,221 Schenley Drive · In Schenley Plaza,Pittsburgh
Spork,4.6,350,Restaurant,5430 Penn Ave,Pittsburgh
Revel,4.1,783,American,"Level, 242 Forbes Ave",Pittsburgh
Bonfire Food and Drink,4.5,328,Restaurant,2100 E Carson St,Pittsburgh
Bar Marco,4.6,562,Italian,2216 Penn Ave,Pittsburgh
DiAnoia's Eatery,4.6,1600,Italian,2549 Penn Ave,Pittsburgh
Lucca Ristorante,4.2,715,Italian,317 S Craig St · Near Carnegie Museum of Art,Pittsburgh
Buca di Beppo Italian Restaurant,4.0,1300,Italian,3 E Station Square Dr · In Station Square,Pittsburgh
The Rebel Room,4.3,38,Restaurant,405 Wood St,Pittsburgh
Madonna's Mediterranean Cuisine,4.8,334,Mediterranean,408 Smithfield St,Pittsburgh
Fig & Ash,4.7,514,Restaurant,514 E Ohio St,Pittsburgh
Turkish Grille,4.5,551,Mediterranean,272 Melwood Ave,Pittsburgh
The Original Mitchell's,4.3,330,American,304 Ross St,Pittsburgh
Girasole,4.4,875,Italian,733 Copeland St,Pittsburgh
Thai Me Up,4.5,709,Thai,118 S 23rd St,Pittsburgh
Bae Bae's Kitchen,4.7,803,Restaurant,951 Liberty Ave,Pittsburgh
Federal Galley,4.5,2000,Restaurant,200 Children's Way · In Nova Place,Pittsburgh
Las Velas,4.3,1200,Mexican,21 Market Square,Pittsburgh
Eddie Merlot's,4.6,1100,Steak,444 Liberty Ave · In Four Gateway Center,Pittsburgh
Altius,4.7,1400,Fine Dining,1230 Grandview Ave,Pittsburgh
Carmella's Plates & Pints,4.6,842,American,1908 E Carson St,Pittsburgh
Condado Tacos,4.5,3700,Tacos,971 Liberty Ave,Pittsburgh
Primanti Bros. Restaurant and Bar Market Square,4.3,3700,Sports bar,2 Market Square · In Market Square,Pittsburgh
Grand Concourse,4.3,2000,Restaurant,100 W Station Square Dr · In Station Square,Pittsburgh
Meat & Potatoes,4.5,1800,Gastropub,649 Penn Ave,Pittsburgh
Bigelow Grille Kitchen & Bar,4.1,297,Restaurant,1 Bigelow Sq · In DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown,Pittsburgh
Fish Nor Fowl,4.5,123,Italian,5523 Penn Ave,Pittsburgh
Primanti Bros. Restaurant and Bar Strip District,4.5,5900,Sports bar,46 18th St,Pittsburgh
Christos Mediterranean Grille,4.4,418,Greek,130 6th St · In Ft. Duquesne & Sixth Garage,Pittsburgh
Point Brugge Cafe,4.6,1100,European,401 Hastings St,Pittsburgh
DeLuca's Diner,4.5,2000,Diner,2015 Penn Ave,Pittsburgh
Hyde Park Prime Steakhouse,4.6,700,Steak,247 N Shore Dr,Pittsburgh
Hofbräuhaus Pittsburgh,4.5,1800,German,2705 S Water St · In the SouthSide Works,Pittsburgh
Zarra's Restaurant,4.3,308,Italian,3887 Bigelow Blvd,Pittsburgh
The Terrace Room,4.3,76,Fine Dining,530 William Penn Pl · In Omni William Penn Hotel,Pittsburgh
Steelhead Brasserie and Wine Bar,3.7,41,Restaurant,112 Washington Pl · In Pittsburgh Marriott City Center,Pittsburgh
Cioppino Restaurant & Cigar Bar,4.4,531,Steak,2350 Railroad St,Pittsburgh
Dish Osteria Bar,4.8,337,Italian,128 S 17th St,Pittsburgh
McCormick & Schmick's Seafood & Steaks,4.1,986,Restaurant,301 Fifth Ave · In Piatt Place Downtown,Pittsburgh
Braddock's Rebellion,4.1,293,American,107 6th St · In Renaissance Pittsburgh Hotel,Pittsburgh
Social House 7,4.1,929,Asian,123 7th St,Pittsburgh
40 North at Alphabet City,4.7,83,Restaurant,40 W North Ave · In Alphabet City,Pittsburgh
Alihan's Mediterranean Cuisine,4.3,728,Mediterranean,124 6th St · In Ft. Duquesne & Sixth Garage,Pittsburgh
Talia,4.5,305,Italian,425 Sixth Ave · In Regional Enterprise Tower,Pittsburgh
Union Grill Oakland,4.4,1300,American,413 S Craig St · Near Carnegie Museum of Art,Pittsburgh
Emporio: A Meatball Joint,4.1,139,Restaurant,942 Penn Ave,Pittsburgh
Siam | Thai Restaurant,4.5,205,Thai,410 First Avenue,Pittsburgh
Taco Town,4.4,419,Tacos,110 Smithfield St,Pittsburgh
City Works (Market Square - Pittsburgh),4.2,2800,American,2 PPG Place · In PPG Place,Pittsburgh
Cafe Zinho,4.6,131,European,238 Spahr St,Pittsburgh
Max's Allegheny Tavern,4.5,1900,German,537 Suismon St,Pittsburgh
August Henry's Burger Bar,4.2,732,Hamburger,946 Penn Ave,Pittsburgh
